Kermit FacilityID,Operator,KERMIT Status,Kermit Facility Name,Kermit Facility Type Code,Survey Date,Survey Method,Submission Survey ID - Operator,Unique Survey ID - BIL Generate,Survey Type,Survey Sequence1,Number of Surveys Submitted Per Facility,Number Surveys Required Proation/Days Active,Days Between Surveys,Ambient Temp C,Wind Speed MS,Precipitation,Detection Instr Make,Emitting Device Ind,FLIR Instr Model,Stor Controlled Ind,Stor Uncontrolled Ind,Fac Pressurized Days,Leak Detection Ind,Leak Unique ID - Operator,Leak ID Unique _ BCOGC,Leak H2S Ind,Leak Building Ind,Leak Building Det Ind,Process Block,Process Block Other,Leaking Comp,Leaking Comp Other,Leaking Service,Leaking Service Other,Leak Quant Method,Leak Rate CMH,Leak rate gps,leakrate m3/year,,sum leaks,Leak Repaired Ind,Non Meas Reason,Non Meas Reason Other,Repair Date,Sum of Days Detection and Repair,Same Day Detection and Repair,Repair Confirmation,Repair Applied,Repair Other,Repair Delay,Delay Other,Turn Around Ind,Turn Around Date
8639,Veresen Midstream General Partner Inc.,Active,VMGPI SWANLAKE 09-15-077-15 002,SM,14-Sep-20,QOGI,20508,8639-3-2020,Internal,3,3,,117,5,3.055555556,LRain,FLIR,YES,GF320/GFx320,YES,NO,366,YES,VM-00722,8639-VM-00722-Comp--Other-Volume pocket-9/14/2020,YES,YES,YES,Comp,,Other,Volume pocket,NGas,,QOGI,8.1,100.575,70956,100.575,,YES,Other,Measurement was completed.,14-Sep-20,0,YES,OGI,Tighten,,,,NO,
18161,Todd Energy Canada Limited,Active,TECL BIRCH A-044-I/094-A-13 001,CD,24-Jan-20,OGI,3.30724E+18,18161-1-2020,TParty,1,3,3,,-2,2,Clear,FLIR,NO,GF320/GFx320,YES,NO,365,YES,209507,18161-209507-Tankage--THatch--2/20/2020,NO,NO,NO,Tankage,,THatch,,NGas,,HFSampler,8,99.33333333,70080,99.33333333,,YES,Other,Measured,20-Feb-20,27,NO,OGI,Replace,,Other,Repaired,NO,
18051,Ovintiv Canada ULC,Active,OVV SUNRISE 04-26-078-17 001,GP,22-May-20,QOGI,18520-18051,18051-2-2020,Internal,2,3,3,65,6,6.944444444,LRain,FLIR,NO,GF320/GFx320,YES,NO,366,YES,OVV-00959,18051-OVV-00959-Refrig--Valve--5/24/2020,NO,NO,,Refrig,,Valve,,Propane,,QOGI,7.8,96.85,68328,96.85,,YES,Other,Measurement was completed.,24-May-20,2,NO,STest,Tighten,,,,NO,
18136,Ovintiv Canada ULC,Active,OVV TOWER LAKE 03-07-081-17 001,GP,04-Mar-20,QOGI,17634-18136,18136-1-2020,Internal,1,3,3,,1,9.722222222,Clear,FLIR,NO,GF320/GFx320,YES,YES,366,YES,OVV-27630-200304-1536,18136-OVV-27630-200304-1536-Refrig--Valve--8/26/2020,NO,YES,YES,Refrig,,Valve,,Propane,,QOGI,7.8,96.85,68328,96.85,,YES,Other,Measurement was completed.,26-Aug-20,175,NO,STest,Replace,,NTSIF,,YES,2020-05-01
18260,Ovintiv Canada ULC,Active,OVV SATURN 15-27-079-17 003,GP,11-Jun-20,QOGI,18873-18260,18260-2-2020,Internal,2,3,3,74,15,3.611111111,Clear,FLIR,NO,GF320/GFx320,YES,NO,366,YES,OVV-00626,18260-OVV-00626-Filt--Other-Coalescer-7/21/2020,NO,NO,,Filt,,Other,Coalescer,LLiquid,,QOGI,7.8,96.85,68328,96.85,,YES,Other,Measurement was completed.,21-Jul-20,40,NO,STest,Replace,,,,NO,
606,STRATHCONA RESOURCES LTD.,Active,STRATHCONA OAK 11-11-086-18 002,B2,18-Sep-20,OGI,11075-0000606-2020-1,606-1-2020,TParty,1,1,3,,21,1,Cloudy,FLIR,NO,GF320/GFx320,YES,NO,365,YES,396966,606-396966-Tankage--Other-Tank Hatch/Seal with VRU/-9/30/2020,NO,NO,NO,Tankage,,Other,Tank Hatch/Seal with VRU/,NGas,,QOGI,7.6,94.36666667,66576,94.36666667,,YES,Other,Measured,30-Sep-20,12,NO,STest,Other,Unknown,Other,Repaired,NO,
18260,Ovintiv Canada ULC,Active,OVV SATURN 15-27-079-17 003,GP,11-Jun-20,QOGI,18873-18260,18260-2-2020,Internal,2,3,3,74,15,3.611111111,Clear,FLIR,NO,GF320/GFx320,YES,NO,366,YES,OVV-00621,18260-OVV-00621-Other-Piping-PRV/PSV--9/28/2020,NO,NO,,Other,Piping,PRV/PSV,,NGas,,QOGI,7.5,93.125,65700,93.125,,YES,Other,Measurement was completed.,28-Sep-20,109,NO,STest,Replace,,WFSE,,YES,2020-09-16
932,1195714 Alberta Ltd.,Active,PENGL FORT ST JOHN 01-36-082-18 002,GP,15-Jul-20,OGI,MEG-3411594827942,932-1-2020,TParty,1,3,3,,16,2.8,Clear,FLIR,NO,GF320/GFx320,NO,YES,316,YES,34110251,932-34110251-Other-Process Building-Connector--9/24/2020,NO,NO,,Other,Process Building,Connector,,NGas,,HFSampler,7.333,91.05141667,64237.08,91.05141667,,YES,Other,It was measured,24-Sep-20,71,NO,STest,RBuild,,,,,
932,1195714 Alberta Ltd.,Active,PENGL FORT ST JOHN 01-36-082-18 002,GP,15-Jul-20,OGI,MEG-3411594827942,932-1-2020,TParty,1,3,3,,16,2.8,Clear,FLIR,NO,GF320/GFx320,NO,YES,316,YES,34110249,932-34110249-Other-Process Building-Connector--9/24/2020,NO,NO,,Other,Process Building,Connector,,NGas,,HFSampler,7.297,90.60441667,63921.72,90.60441667,,YES,Other,It was measured,24-Sep-20,71,NO,STest,Tighten,,,,,
7334,Veresen Midstream General Partner Inc.,Active,VMGPI KELLY B-100-B/093-P-08 001,CD,14-May-20,QOGI,18450,7334-1-2020,Internal,1,2,3,,2,2.777777778,Clear,FLIR,YES,GF320/GFx320,NO,YES,366,YES,VM-8273-200514-1301,7334-VM-8273-200514-1301-Other-FG scrubber-Connector--5/14/2020,NO,YES,YES,Other,FG scrubber,Connector,,NGas,,QOGI,7.2,89.4,63072,89.4,,YES,Other,Measurement was completed.,14-May-20,0,YES,OGI,Replace,,,,NO,
