X,Y,OBJECTID,FACILITY_ID,FACILITY_TYPE,FACILITY_TYPE_DESC,FACILITY_NAME,STATUS,MAXIMUM_H2S_PERCENT,APPLICATION_DETERMINATION_NUM,ACTIVITY_APPROVAL_DATE,ACTIVITY_CANCEL_DATE,LEGACY_OGC_FILE_NUMBER,PROPONENT,AUTHORITY_TYPE,DATA_SOURCE
1306920.5943,1246710.8681,14298975,00026361,WF,Well Facility,CREW MONIAS 04-22-082-20 001,Active,0,100101709,2017/04/02 14:07:40+00,,,Crew Energy Inc.,OGAA,CGWC
1256250.7463,1342992.1664,14298976,00026348,WF,Well Facility,TOURMALINE AITKEN CREEK NORTH C-002-C/094-H-04 001,Active,1,100102102,2017/03/12 12:10:30+00,,,Tourmaline Oil Corp.,OGAA,GPSND
1307923.6979,1244785.9447,14298977,00026281,WF,Well Facility,CREW WILDER 15-10-082-20 001,Active,0,100101431,2017/04/20 15:57:32+00,,,Crew Energy Inc.,OGAA,CGWC
1355004.2733,1233779.5101,14298978,00026357,WF,Well Facility,TOURMALINE DOE 13-28-080-15 001,Active,700,100102113,2017/04/06 13:15:08+00,,,Tourmaline Oil Corp.,OGAA,GPSND
1370749.9833,1203124.0149,14298979,00026351,WF,Well Facility,OVV SWAN LAKE 06-22-077-14 001,Active,2,100102214,2017/04/18 13:17:11+00,,,Ovintiv Canada ULC,OGAA,SNK
1367076.0658,1242148.7329,14298980,00026372,WF,Well Facility,VERMILION MICA 08-22-081-14 003,Active,0,100102538,2017/04/27 13:50:21+00,,,VERMILION ENERGY INC.,OGAA,GPSND
1338172.0698,1221668.9414,14298981,00026358,B,Battery Site,OVV SATURN 05-27-079-17 001,Active,990,100102376,2017/06/12 08:36:34+00,,,Ovintiv Canada ULC,OGAA,SNK
1306097.5072,1244781.8037,14298982,00026308,WF,Well Facility,CREW MONIAS 15-09-082-20 001,Active,0,100101580,2017/04/19 13:58:59+00,,,Crew Energy Inc.,OGAA,CGWC
1338785.3389,1238973.3582,14298983,00026297,SB,Satellite Battery,ARCRES TOWER LAKE 14-14-081-17 001,Active,0,100101592,2017/06/06 08:53:23+00,,,ARC Resources Ltd.,OGAA,SNK
1338774.1163,1239002.9941,14298984,00026298,WF,Well Facility,ARCRES TOWER LAKE 14-14-081-17 002,Active,0,100101592,2017/06/06 08:53:23+00,,,ARC Resources Ltd.,OGAA,SNK
1245028.6132,1263997.1313,14298985,00026309,WF,Well Facility,PACIFIC CANBRIAM ALTARES d-063-A/094-B-08 001,Active,0,100101595,2017/03/05 10:24:04+00,,,Pacific Canbriam Energy Limited,OGAA,SNK
1336116.4052,1241401.0333,14298986,00026374,DS,Disposal Station,CATAPULT TOWER LAKE 9-28-81-17 003,Active,1,100102555,2017/08/15 13:26:48+00,,,Catapult Environmental Inc.,OGAA,GPSD
1345809.198,1237634.325,14298987,00026461,WF,Well Facility,ARCRES PARKLAND 15-09-081-16 001,Active,30,100103164,2017/08/16 13:12:46+00,,,ARC Resources Ltd.,OGAA,SNK
1345810.4466,1237604.2744,14298988,00026462,SB,Satellite Battery,ARCRES PARKLAND 10-09-081-16 001,Active,30,100103164,2017/08/16 13:12:46+00,,,ARC Resources Ltd.,OGAA,SNK
1242340.112,1273978.767,14298989,00026523,WF,Well Facility,PACIFIC CANBRIAM ALTARES D-076-H/094-B-08 001,Active,0,100103622,2017/09/08 15:59:32+00,,,Pacific Canbriam Energy Limited,OGAA,CGWC
1355295.739,1229997.7333,14298990,00026543,WF,Well Facility,TOURMALINE DOE 12-16-080-15 001,Active,700,100103853,2017/11/14 14:55:38+00,,,Tourmaline Oil Corp.,OGAA,GPSND
1266395.6549,1350971.3391,14298991,00026547,WF,Well Facility,CNRL NIG CREEK C-088-A/094-H-04 001,Active,2,100103862,2017/10/23 11:32:39+00,,,Canadian Natural Resources Limited,OGAA,GPSND
1237766.2578,1317115.2811,14298992,00026539,B,Battery Site,TOURMALINE GUNDY CREEK B-048-A/094-B-16 001,Permit Approved,0,100103809,2017/10/16 16:32:38+00,,,Tourmaline Oil Corp.,OGAA,SNK
1237766.2578,1317115.2811,14298993,00026540,WF,Well Facility,TOURMALINE GUNDY CREEK B-048-A/094-B-16 002,Active,0,100103809,2017/10/16 16:32:38+00,,,Tourmaline Oil Corp.,OGAA,SNK
